Dataset,Method,Activity,Support,TP,FP,FN
AmazonHelp,LLMs-EEM DS-R,Provide URL,86,86,0,0
AmazonHelp,LLMs-EEM DS-R,Request to not send personal details,9,9,1,0
AmazonHelp,LLMs-EEM DS-R,Provide delivery date,9,6,1,3
AmazonHelp,LLMs-EEM DS-R,Apologize,66,66,0,0
AmazonHelp,LLMs-EEM DS-R,Refer to specialist team,14,11,1,3
AmazonHelp,LLMs-EEM DS-R,Request to call by phone,14,12,1,2
AmazonHelp,LLMs-EEM DS-R,Request to reach out by chat,9,8,2,1
AmazonHelp,LLMs-EEM DS-R,Investigate Issue,67,53,11,14
AmazonHelp,LLMs-EEM DS-R,Delivery,61,60,17,1
AmazonHelp,LLMs-EEM DS-R,Prime,36,33,3,3
AmazonHelp,LLMs-EEM DS-R,Alexa,7,7,0,0
AmazonHelp,LLMs-EEM DS-R,Kindle,9,9,0,0
AmazonHelp,LLMs-EEM DS-R,Echo,8,8,0,0
AmazonHelp,LLMs-EEM DS-R,Bad Support,63,46,19,17
AmazonHelp,LLMs-EEM DS-R,Order Cancellation,8,8,1,0
AmazonHelp,LLMs-EEM DS-R,Return,10,9,0,1
AmazonHelp,LLMs-EEM DS-R,Refund,19,18,0,1
AmazonHelp,LLMs-EEM DS-R,Replacement,8,8,0,0
AmazonHelp,LLMs-EEM DS-R,Account,15,15,7,0
AmazonHelp,LLMs-EEM DS-R,Packaging,11,11,1,0
AmazonHelp,LLMs-EEM Gemini,Provide URL,86,86,0,0
AmazonHelp,LLMs-EEM Gemini,Request to not send personal details,9,9,0,0
AmazonHelp,LLMs-EEM Gemini,Provide delivery date,9,7,1,2
AmazonHelp,LLMs-EEM Gemini,Apologize,66,66,0,0
AmazonHelp,LLMs-EEM Gemini,Refer to specialist team,14,11,2,3
AmazonHelp,LLMs-EEM Gemini,Request to call by phone,14,14,0,0
AmazonHelp,LLMs-EEM Gemini,Request to reach out by chat,9,9,1,0
AmazonHelp,LLMs-EEM Gemini,Investigate Issue,67,50,6,17
AmazonHelp,LLMs-EEM Gemini,Delivery,61,53,10,8
AmazonHelp,LLMs-EEM Gemini,Prime,36,34,3,2
AmazonHelp,LLMs-EEM Gemini,Alexa,7,7,0,0
AmazonHelp,LLMs-EEM Gemini,Kindle,9,9,0,0
AmazonHelp,LLMs-EEM Gemini,Echo,8,8,0,0
AmazonHelp,LLMs-EEM Gemini,Bad Support,63,45,9,18
AmazonHelp,LLMs-EEM Gemini,Order Cancellation,8,8,0,0
AmazonHelp,LLMs-EEM Gemini,Return,10,9,0,1
AmazonHelp,LLMs-EEM Gemini,Refund,19,18,0,1
AmazonHelp,LLMs-EEM Gemini,Replacement,8,8,0,0
AmazonHelp,LLMs-EEM Gemini,Account,15,14,5,1
